Month,Year,Municipality,Tax_Rev,RetainedByCity_PercentOfTotalTax,Rec_SpecialSalesTax_Amount,Combined_Local_Govs,Notes,Unincorp_County,NR_Code,Unincorp_NR_Code
10,2015,Aspen,10817,0.15,0.1,,,,,
10,2015,Aurora,71696,0.15,0.1,,,,,
10,2015,Boulder,42947,0.15,0.1,,,,,
10,2015,Boulder County,10270,0.15,0.1,,,,,
10,2015,Breckenridge,6356,0.15,0.1,,,,,
10,2015,Carbondale,1877,0.15,0.1,,,,,
10,2015,Cortez,7590,0.15,0.1,,,,,
10,2015,Crested Butte,4934,0.15,0.1,,,,,
10,2015,Denver,276219,0.15,0.1,,,,,
10,2015,Durango,21551,0.15,0.1,,,,,
10,2015,Eagle County,4333,0.15,0.1,,,,,
10,2015,Edgewater,25522,0.15,0.1,,,,,
10,2015,Fort Collins,28752,0.15,0.1,,,,,
10,2015,Garden City,27067,0.15,0.1,,,,,
10,2015,Glendale,9496,0.15,0.1,,,,,
10,2015,Glenwood Springs,6107,0.15,0.1,,,,,
10,2015,Idaho Springs,3453,0.15,0.1,,,,,
10,2015,Northglenn,21199,0.15,0.1,,,,,
10,2015,Pueblo County,19458,0.15,0.1,,,,,
10,2015,Salida,5873,0.15,0.1,,,,,
10,2015,Steamboat Springs,8095,0.15,0.1,,,,,
10,2015,Telluride,4956,0.15,0.1,,,,,
10,2015,Trinidad,15281,0.15,0.1,,,,,
10,2015,Wheat Ridge,11796,0.15,0.1,,,,,
10,2015,Combined Local Governments,133227,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, Central City, De Beque, Dillion, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village,Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View,Nederland, Oak Creek, Ridgway, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Walsenberg, Adams County, Archuleta County,Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County, Ouray County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
11,2015,Aspen,4944,0.15,0.1,,,,,
11,2015,Aurora,65801,0.15,0.1,,,,,
11,2015,Boulder,38393,0.15,0.1,,,,,
11,2015,Boulder County,8554,0.15,0.1,,,,,
11,2015,Breckenridge,6006,0.15,0.1,,,,,
11,2015,Carbondale,1864,0.15,0.1,,,,,
11,2015,Cortez,8140,0.15,0.1,,,,,
11,2015,Denver,238040,0.15,0.1,,,,,
11,2015,Durango,20435,0.15,0.1,,,,,
11,2015,Eagle County,11720,0.15,0.1,,,,,
11,2015,Edgewater,24704,0.15,0.1,,,,,
11,2015,Fort Collins,22415,0.15,0.1,,,,,
11,2015,Garden City,28627,0.15,0.1,,,,,
11,2015,Glendale,11158,0.15,0.1,,,,,
11,2015,Glenwood Springs,5775,0.15,0.1,,,,,
11,2015,Idaho Springs,4862,0.15,0.1,,,,,
11,2015,Northglenn,21861,0.15,0.1,,,,,
11,2015,Pueblo County,29715,0.15,0.1,,,,,
11,2015,Salida,4888,0.15,0.1,,,,,
11,2015,Steamboat Springs,7978,0.15,0.1,,,,,
11,2015,Telluride,2381,0.15,0.1,,,,,
11,2015,Trinidad,12275,0.15,0.1,,,,,
11,2015,Combined Local Governments,133548,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, Central City, Crested Butte, De Beque,Dillion, Empire, Fraser, Frisco, Georgetown, Leadville, Log Lane Village,Louisville, Lyons, Mancos, Manitou Springs, Moffat, Nederland, Oak Creek,Ridgway, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Walsenberg,Wheat Ridge, Adams County, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County,Larimer County, Park County,and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
12,2015,Aspen,4466,0.15,0.1,,,,,
12,2015,Aurora,74123,0.15,0.1,,,,,
12,2015,Boulder,37463,0.15,0.1,,,,,
12,2015,Boulder County,9953,0.15,0.1,,,,,
12,2015,Breckenridge,6558,0.15,0.1,,,,,
12,2015,Carbondale,2332,0.15,0.1,,,,,
12,2015,Cortez,6955,0.15,0.1,,,,,
12,2015,Crested Butte,2413,0.15,0.1,,,,,
12,2015,Denver,269604,0.15,0.1,,,,,
12,2015,Durango,17458,0.15,0.1,,,,,
12,2015,Eagle County,7678,0.15,0.1,,,,,
12,2015,Edgewater,24361,0.15,0.1,,,,,
12,2015,Fort Collins,27397,0.15,0.1,,,,,
12,2015,Garden City,25321,0.15,0.1,,,,,
12,2015,Glendale,10510,0.15,0.1,,,,,
12,2015,Glenwood Springs,3778,0.15,0.1,,,,,
12,2015,Northglenn,22376,0.15,0.1,,,,,
12,2015,Pueblo County,18872,0.15,0.1,,,,,
12,2015,Salida,3861,0.15,0.1,,,,,
12,2015,Steamboat Springs,6168,0.15,0.1,,,,,
12,2015,Telluride,1816,0.15,0.1,,,,,
12,2015,Trinidad,15270,0.15,0.1,,,,,
12,2015,Wheat Ridge,16048,0.15,0.1,,,,,
4,2016,Trinidad,15539,0.15,0.1,,,,,
4,2016,Wheat Ridge,11375,0.15,0.1,,,,,
8,2016,Parachute,11604,0.15,0.1,,,,,
8,2016,Park County,4312,0.15,0.1,,,,,
8,2016,Pueblo County,45908,0.15,0.1,,,,,
12,2015,Combined Local Governments,125524,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, Central City, De Beque, Dillion, Empire, Fraser, Frisco, Georgetown, Gunnison, Idaho Springs, Lafayette, Leadville,Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Nederland, Oak Creek, Ridgway, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Walsenberg, Adams County, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County and Park County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
1,2016,Aspen,8889.78,0.15,0.1,,,,,
1,2016,Aurora,90364.84,0.15,0.1,,,,,
1,2016,Boulder,50241.81,0.15,0.1,,,,,
1,2016,Boulder County,10380.11,0.15,0.1,,,,,
1,2016,Breckenridge,11343.53,0.15,0.1,,,,,
1,2016,Carbondale,1526.4,0.15,0.1,,,,,
1,2016,Central City,2657.11,0.15,0.1,,,,,
1,2016,Cortez,7386.45,0.15,0.1,,,,,
1,2016,Crested Butte,7128.76,0.15,0.1,,,,,
1,2016,Denver,337880.16,0.15,0.1,,,,,
1,2016,Durango,23749.28,0.15,0.1,,,,,
1,2016,Eagle County,12452.31,0.15,0.1,,,,,
1,2016,Edgewater,30351.35,0.15,0.1,,,,,
1,2016,Fort Collins,35345.57,0.15,0.1,,,,,
1,2016,Garden City,27735.57,0.15,0.1,,,,,
1,2016,Glendale,13897.98,0.15,0.1,,,,,
1,2016,Glenwood Springs,4093.65,0.15,0.1,,,,,
1,2016,Idaho Springs,7988.49,0.15,0.1,,,,,
1,2016,Northglenn,27006.5,0.15,0.1,,,,,
1,2016,Pueblo County,23620.91,0.15,0.1,,,,,
1,2016,Steamboat Springs,9376.65,0.15,0.1,,,,,
1,2016,Telluride,4670.64,0.15,0.1,,,,,
1,2016,Trinidad,19157.35,0.15,0.1,,,,,
1,2016,Wheat Ridge,12265.72,0.15,0.1,,,,,
1,2016,Combined Local Governments,157171.42,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, De Beque, Dillion, Eagle, Empire, Fraser,Frisco, Georgetown, Gunnison, Lafayette, Leadville, Log Lane Village,Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View, Nederland, Oak Creek, Pagosa Springs, Parachute, Ridgway, Salida, San Luis,Sedgwick, Silt, Silver Plume, Silverthorne, Walsenberg, Adams County,Archuleta County, Clear Creek County, Costilla County, Gilpin County,Grand County, Larimer County and Park County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
2,2016,Aspen,10791,0.15,0.1,,,,,
2,2016,Aurora,68542,0.15,0.1,,,,,
2,2016,Boulder,42169,0.15,0.1,,,,,
2,2016,Boulder County,14276,0.15,0.1,,,,,
2,2016,Breckenridge,10492,0.15,0.1,,,,,
2,2016,Carbondale,1570,0.15,0.1,,,,,
2,2016,Central City,1056,0.15,0.1,,,,,
2,2016,Cortez,6993,0.15,0.1,,,,,
2,2016,Crested Butte,4038,0.15,0.1,,,,,
2,2016,Denver,273924,0.15,0.1,,,,,
2,2016,Durango,16859,0.15,0.1,,,,,
2,2016,Eagle County,16475,0.15,0.1,,,,,
2,2016,Edgewater,18908,0.15,0.1,,,,,
2,2016,Fort Collins,29497,0.15,0.1,,,,,
2,2016,Garden City,26903,0.15,0.1,,,,,
2,2016,Glendale,15414,0.15,0.1,,,,,
2,2016,Glenwood Springs,4233,0.15,0.1,,,,,
2,2016,Gunnison,2515,0.15,0.1,,,,,
2,2016,Idaho Springs,5108,0.15,0.1,,,,,
2,2016,Northglenn,6646,0.15,0.1,,,,,
2,2016,Salida,5113,0.15,0.1,,,,,
2,2016,Pueblo County,24521,0.15,0.1,,,,,
2,2016,Steamboat Springs,11446,0.15,0.1,,,,,
2,2016,Telluride,4148,0.15,0.1,,,,,
2,2016,Trinidad,13289,0.15,0.1,,,,,
2,2016,Wheat Ridge,9396,0.15,0.1,,,,,
6,2016,Trinidad,21013,0.15,0.1,,,,,
6,2016,Wheat Ridge,10811,0.15,0.1,,,,,
8,2016,Ridgway,11396,0.15,0.1,,,,,
8,2016,Steamboat Springs,13309,0.15,0.1,,,,,
8,2016,Telluride,7915,0.15,0.1,,,,,
8,2016,Trinidad,26701,0.15,0.1,,,,,
8,2016,Wheat Ridge,12355,0.15,0.1,,,,,
2,2016,Combined Local Governments,134494,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, Commerce City, De Beque, Dillion, Eagle, Empire,Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View, Nederland, Oak Creek,Pagosa Springs, Parachute, Ridgway, San Luis, Sedgwick, Silt, Silverthorne, Walsenberg, Adams County, Archuleta County, Clear Creek County, Costilla County, Grand County,Larimer County and Park County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
3,2016,Antonito,2462,0.15,0.1,,,,,
3,2016,Aspen,13101,0.15,0.1,,,,,
3,2016,Aurora,94363,0.15,0.1,,,,,
3,2016,Boulder,39599,0.15,0.1,,,,,
3,2016,Boulder County,12255,0.15,0.1,,,,,
3,2016,Breckenridge,20578,0.15,0.1,,,,,
3,2016,Carbondale,1281,0.15,0.1,,,,,
3,2016,Central City,2325,0.15,0.1,,,,,
3,2016,Cortez,7719,0.15,0.1,,,,,
3,2016,Crested Butte,1635,0.15,0.1,,,,,
3,2016,Denver,306532,0.15,0.1,,,,,
3,2016,Durango,28465,0.15,0.1,,,,,
3,2016,Eagle County,15851,0.15,0.1,,,,,
3,2016,Edgewater,34317,0.15,0.1,,,,,
3,2016,Fort Collins,25034,0.15,0.1,,,,,
3,2016,Garden City,28002,0.15,0.1,,,,,
3,2016,Glendale,18460,0.15,0.1,,,,,
3,2016,Glenwood Springs,3961,0.15,0.1,,,,,
3,2016,Gunnison,1923,0.15,0.1,,,,,
3,2016,Idaho Springs,4995,0.15,0.1,,,,,
3,2016,Nederland,1333,0.15,0.1,,,,,
3,2016,Northglenn,47137,0.15,0.1,,,,,
3,2016,Salida,4228,0.15,0.1,,,,,
3,2016,Pueblo County,25143,0.15,0.1,,,,,
3,2016,Steamboat Springs,11146,0.15,0.1,,,,,
3,2016,Telluride,6734,0.15,0.1,,,,,
3,2016,Trinidad,16240,0.15,0.1,,,,,
3,2016,Wheat Ridge,12640,0.15,0.1,,,,,
5,2016,Denver,381579,0.15,0.1,,,,,
5,2016,Durango,23836,0.15,0.1,,,,,
3,2016,Combined Local Governments,145265,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Dillion, Eagle, Empire,Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village, Longmont, Louisville, Lyons,  Mancos, Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, Parachute, Ridgway, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Walsenberg, , Adams County, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County and Park County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
4,2016,Antonito,3179,0.15,0.1,,,,,
4,2016,Aspen,12192,0.15,0.1,,,,,
4,2016,Aurora,92455,0.15,0.1,,,,,
4,2016,Boulder,39081,0.15,0.1,,,,,
4,2016,Boulder County,12364,0.15,0.1,,,,,
4,2016,Central City,1983,0.15,0.1,,,,,
4,2016,Cortez,9261,0.15,0.1,,,,,
4,2016,Crested Butte,4462,0.15,0.1,,,,,
4,2016,Denver,275345,0.15,0.1,,,,,
4,2016,Dillon,6430,0.15,0.1,,,,,
4,2016,Durango,25369,0.15,0.1,,,,,
4,2016,Eagle County,15924,0.15,0.1,,,,,
4,2016,Edgewater,24482,0.15,0.1,,,,,
4,2016,Fort Collins,37775,0.15,0.1,,,,,
4,2016,Garden City,13672,0.15,0.1,,,,,
4,2016,Glendale,14982,0.15,0.1,,,,,
4,2016,Glenwood Springs,4842,0.15,0.1,,,,,
4,2016,Gunnison,3076,0.15,0.1,,,,,
4,2016,Idaho Springs,5276,0.15,0.1,,,,,
4,2016,Nederland,1993,0.15,0.1,,,,,
4,2016,Northglenn,26871,0.15,0.1,,,,,
4,2016,Parachute,4744,0.15,0.1,,,,,
4,2016,Park County,2448,0.15,0.1,,,,,
4,2016,Pueblo County,26170,0.15,0.1,,,,,
4,2016,Ridgway,4384,0.15,0.1,,,,,
4,2016,Salida,5330,0.15,0.1,,,,,
4,2016,Steamboat Springs,10956,0.15,0.1,,,,,
4,2016,Telluride,4076,0.15,0.1,,,,,
4,2016,Combined Local Governments,156792,0.15,0.1,"Alma, Black Hawk, Breckenridge, Carbondale, De Beque, Eagle, Empire,Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village, Louisville, Lyons,  Mancos, Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Walsenberg, Adams County, Archuleta County, Clear Creek County, Costilla County,Gilpin County, Grand County and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
5,2016,Adams County,13661,0.15,0.1,,,,,
5,2016,Antonito,3321,0.15,0.1,,,,,
5,2016,Aspen,6205,0.15,0.1,,,,,
5,2016,Aurora,97239,0.15,0.1,,,,,
5,2016,Boulder,46167,0.15,0.1,,,,,
5,2016,Boulder County,16938,0.15,0.1,,,,,
5,2016,Breckenridge,15875,0.15,0.1,,,,,
5,2016,Carbondale,2821,0.15,0.1,,,,,
5,2016,Central City,2228,0.15,0.1,,,,,
5,2016,Cortez,9052,0.15,0.1,,,,,
5,2016,Eagle County,12288,0.15,0.1,,,,,
5,2016,Edgewater,37810,0.15,0.1,,,,,
5,2016,Fort Collins,29628,0.15,0.1,,,,,
5,2016,Garden City,47292,0.15,0.1,,,,,
5,2016,Glendale,28622,0.15,0.1,,,,,
5,2016,Glenwood Springs,4560,0.15,0.1,,,,,
5,2016,Gunnison,3492,0.15,0.1,,,,,
5,2016,Idaho Springs,4089,0.15,0.1,,,,,
5,2016,Nederland,1677,0.15,0.1,,,,,
5,2016,Northglenn,24430,0.15,0.1,,,,,
5,2016,Parachute,5540,0.15,0.1,,,,,
5,2016,Park County,2412,0.15,0.1,,,,,
5,2016,Pueblo County,35260,0.15,0.1,,,,,
5,2016,Ridgway,4351,0.15,0.1,,,,,
5,2016,Salida,4510,0.15,0.1,,,,,
5,2016,Steamboat Springs,7820,0.15,0.1,,,,,
5,2016,Telluride,2694,0.15,0.1,,,,,
5,2016,Trinidad,22616,0.15,0.1,,,,,
5,2016,Wheat Ridge,11048,0.15,0.1,,,,,
5,2016,Combined Local Governments,131748,0.15,0.1,"Alma, Basalt, Black Hawk, Crested Butte, De Beque, Dillon, Eagle, Empire,Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village, Louisville, Lyons,  Mancos, Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Walsenberg, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
6,2016,Antonito,3866,0.15,0.1,,,,,
6,2016,Aspen,4024,0.15,0.1,,,,,
6,2016,Aurora,78661,0.15,0.1,,,,,
6,2016,Boulder,47068,0.15,0.1,,,,,
6,2016,Boulder County,15403,0.15,0.1,,,,,
6,2016,Breckenridge,9244,0.15,0.1,,,,,
6,2016,Central City,2538,0.15,0.1,,,,,
6,2016,Cortez,10597,0.15,0.1,,,,,
6,2016,Denver,304424,0.15,0.1,,,,,
6,2016,Dillon,4739,0.15,0.1,,,,,
6,2016,Durango,29409,0.15,0.1,,,,,
6,2016,Eagle County,8180,0.15,0.1,,,,,
6,2016,Edgewater,20700,0.15,0.1,,,,,
6,2016,Fort Collins,50127,0.15,0.1,,,,,
6,2016,Garden City,30646,0.15,0.1,,,,,
6,2016,Glendale,23647,0.15,0.1,,,,,
6,2016,Glenwood Springs,4519,0.15,0.1,,,,,
6,2016,Gunnison,2627,0.15,0.1,,,,,
6,2016,Idaho Springs,4703,0.15,0.1,,,,,
6,2016,Leadville,2215,0.15,0.1,,,,,
6,2016,Log Lane Village,8230,0.15,0.1,,,,,
6,2016,Nederland,1850,0.15,0.1,,,,,
6,2016,Northglenn,12902,0.15,0.1,,,,,
6,2016,Park County,2843,0.15,0.1,,,,,
6,2016,Pueblo County,34743,0.15,0.1,,,,,
6,2016,Ridgway,5930,0.15,0.1,,,,,
6,2016,Salida,4999,0.15,0.1,,,,,
6,2016,Steamboat Springs,7292,0.15,0.1,,,,,
6,2016,Telluride,3314,0.15,0.1,,,,,
6,2017,Sedgwick,,0.15,0.1,,,,NR,
6,2016,Combined Local Governments,133268,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Commerce City, Crested Butte, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Louisville, Lyons,  Mancos, Manitou Springs,Moffat, Mountain View, Oak Creek, Pagosa Springs, Parachute, San Luis, Sedgwick, Silt, Silverthorne, Silverton, Walsenberg, Adams County, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County,and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
7,2016,Adams County,22335,0.15,0.1,,,,,
7,2016,Antonito,4986,0.15,0.1,,,,,
7,2016,Aspen,23496,0.15,0.1,,,,,
7,2016,Aurora,115039,0.15,0.1,,,,,
7,2016,Boulder,44960,0.15,0.1,,,,,
7,2016,Boulder County,11613,0.15,0.1,,,,,
7,2016,Breckenridge,7731,0.15,0.1,,,,,
7,2016,Carbondale,3002,0.15,0.1,,,,,
7,2016,Central City,2712,0.15,0.1,,,,,
7,2016,Cortez,11328,0.15,0.1,,,,,
7,2016,Crested Butte,3907,0.15,0.1,,,,,
7,2016,Denver,352520,0.15,0.1,,,,,
7,2016,Dillon,3839,0.15,0.1,,,,,
7,2016,Durango,29814,0.15,0.1,,,,,
7,2016,Eagle County,10696,0.15,0.1,,,,,
7,2016,Edgewater,43523,0.15,0.1,,,,,
7,2016,Fort Collins,41396,0.15,0.1,,,,,
7,2016,Garden City,30372,0.15,0.1,,,,,
7,2016,Glendale,24680,0.15,0.1,,,,,
7,2016,Glenwood Springs,14237,0.15,0.1,,,,,
7,2016,Gunnison,5476,0.15,0.1,,,,,
7,2016,Idaho Springs,5852,0.15,0.1,,,,,
7,2016,Leadville,3099,0.15,0.1,,,,,
7,2016,Log Lane Village,8239,0.15,0.1,,,,,
7,2016,Nederland,2215,0.15,0.1,,,,,
7,2016,Northglenn,44779,0.15,0.1,,,,,
7,2016,Parachute,9254,0.15,0.1,,,,,
7,2016,Park County,3579,0.15,0.1,,,,,
7,2016,Pueblo County,37677,0.15,0.1,,,,,
7,2016,Salida,6903,0.15,0.1,,,,,
7,2016,Telluride,3721,0.15,0.1,,,,,
7,2016,Trinidad,24342,0.15,0.1,,,,,
7,2016,Wheat Ridge,11339,0.15,0.1,,,,,
7,2016,Combined Local Governments,144983,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco,Georgetown, Lafayette, Louisville, Lyons,  Mancos, Manitou Springs, Moffat,Mountain View, Oak Creek, Pagosa Springs, Ridgway, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Steamboat Springs, Walsenberg,  Archuleta County, Clear Creek County, Costilla County, Gilpin County,  Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
8,2016,Adams County,19660,0.15,0.1,,,,,
8,2016,Antonito,6543,0.15,0.1,,,,,
8,2016,Aspen,15084,0.15,0.1,,,,,
8,2016,Aurora,112911,0.15,0.1,,,,,
8,2016,Boulder,53978,0.15,0.1,,,,,
8,2016,Boulder County,22542,0.15,0.1,,,,,
8,2016,Breckenridge,10771,0.15,0.1,,,,,
8,2016,Carbondale,2995,0.15,0.1,,,,,
8,2016,Central City,3038,0.15,0.1,,,,,
8,2016,Cortez,14429,0.15,0.1,,,,,
8,2016,Crested Butte,4050,0.15,0.1,,,,,
8,2016,Denver,396394,0.15,0.1,,,,,
8,2016,Dillon,5217,0.15,0.1,,,,,
8,2016,Durango,38258,0.15,0.1,,,,,
8,2016,Eagle County,14469,0.15,0.1,,,,,
8,2016,Edgewater,37736,0.15,0.1,,,,,
8,2016,Fort Collins,48107,0.15,0.1,,,,,
8,2016,Garden City,35718,0.15,0.1,,,,,
8,2016,Glendale,27027,0.15,0.1,,,,,
8,2016,Glenwood Springs,7650,0.15,0.1,,,,,
8,2016,Gunnison,5660,0.15,0.1,,,,,
8,2016,Idaho Springs,6486,0.15,0.1,,,,,
8,2016,Leadville,4120,0.15,0.1,,,,,
8,2016,Log Lane Village,11956,0.15,0.1,,,,,
8,2016,Nederland,2922,0.15,0.1,,,,,
8,2016,Northglenn,35113,0.15,0.1,,,,,
8,2016,Combined Local Governments,161209,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco,Georgetown, Lafayette, Louisville, Lyons,  Mancos, Manitou Springs, Moffat,Mountain View, Oak Creek, Pagosa Springs, Salida, San Luis, Sedgwick, Silt,Silver Plume, Silverthorne, Walsenberg, Clear Creek County, Costilla County,Gilpin County, Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
9,2016,Adams County,21895,0.15,0.1,,,,,
9,2016,Antonito,6362,0.15,0.1,,,,,
9,2016,Aspen,14330,0.15,0.1,,,,,
9,2016,Aurora,113663,0.15,0.1,,,,,
9,2016,Boulder,53808,0.15,0.1,,,,,
9,2016,Boulder County,18096,0.15,0.1,,,,,
9,2016,Breckenridge,10246,0.15,0.1,,,,,
9,2016,Carbondale,2721,0.15,0.1,,,,,
9,2016,Central City,3343,0.15,0.1,,,,,
9,2016,Cortez,13894,0.15,0.1,,,,,
9,2016,Crested Butte,2441,0.15,0.1,,,,,
9,2016,Denver,424299,0.15,0.1,,,,,
9,2016,Dillon,5229,0.15,0.1,,,,,
9,2016,Durango,34394,0.15,0.1,,,,,
9,2016,Eagle County,14708,0.15,0.1,,,,,
9,2016,Edgewater,38653,0.15,0.1,,,,,
9,2016,Fort Collins,52174,0.15,0.1,,,,,
9,2016,Garden City,36670,0.15,0.1,,,,,
9,2016,Glendale,19182,0.15,0.1,,,,,
9,2016,Glenwood Springs,7934,0.15,0.1,,,,,
9,2016,Gunnison,4724,0.15,0.1,,,,,
9,2016,Idaho Springs,6769,0.15,0.1,,,,,
9,2016,Leadville,4468,0.15,0.1,,,,,
9,2016,Nederland,2910,0.15,0.1,,,,,
9,2016,Northglenn,32268,0.15,0.1,,,,,
9,2016,Parachute,10350,0.15,0.1,,,,,
9,2016,Park County,4406,0.15,0.1,,,,,
9,2016,Pueblo County,44939,0.15,0.1,,,,,
9,2016,Ridgway,7433,0.15,0.1,,,,,
9,2016,Steamboat Springs,12625,0.15,0.1,,,,,
9,2016,Telluride,6177,0.15,0.1,,,,,
9,2016,Trinidad,39741,0.15,0.1,,,,,
9,2016,Wheat Ridge,12939,0.15,0.1,,,,,
9,2016,Combined Local Governments,193400,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco,Lafayette, Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Oak Creek, Pagosa Springs, Salida, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Walsenberg, Clear Creek County, Archuletta County, Costilla County,Gilpin County, Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
10,2016,Adams County,24182,0.15,0.1,,,,,
10,2016,Antonito,6532,0.15,0.1,,,,,
10,2016,Aspen,8618,0.15,0.1,,,,,
10,2016,Aurora,121884,0.15,0.1,,,,,
10,2016,Boulder,52275,0.15,0.1,,,,,
10,2016,Boulder County,17903,0.15,0.1,,,,,
10,2016,Breckenridge,5707,0.15,0.1,,,,,
10,2016,Central City,3455,0.15,0.1,,,,,
10,2016,Cortez,17339,0.15,0.1,,,,,
10,2016,Crested Butte,1956,0.15,0.1,,,,,
10,2016,Denver,435001,0.15,0.1,,,,,
10,2016,Dillon,4516,0.15,0.1,,,,,
10,2016,Durango,33435,0.15,0.1,,,,,
10,2016,Eagle County,12847,0.15,0.1,,,,,
10,2016,Edgewater,40877,0.15,0.1,,,,,
10,2016,Fort Collins,51866,0.15,0.1,,,,,
10,2016,Garden City,38509,0.15,0.1,,,,,
10,2016,Glendale,37217,0.15,0.1,,,,,
10,2016,Glenwood Springs,5776,0.15,0.1,,,,,
10,2016,Gunnison,4044,0.15,0.1,,,,,
10,2016,Idaho Springs,6283,0.15,0.1,,,,,
